entity_1,entity_2,relation_type,frequency
United States,Argentina,co_occurrence,224
Australian,Australia,co_occurrence,224
Securities and Exchange Commission,the Democratic Republic of Congo,co_occurrence,223
Intellectual Property,China,co_occurrence,223
Canada,Corporate,co_occurrence,223
United States,Principal Executive Officer,co_occurrence,223
United States,the U.K. Bribery Act,co_occurrence,223
European Union,the European Economic Area,co_occurrence,223
Securities and Exchange Commission,E.U.,co_occurrence,222
Moody s Investors Service,European Union,co_occurrence,222
Singapore,India,co_occurrence,222
Brexit,Japan,co_occurrence,222
Mexico,Foreign Corrupt Practices Act,co_occurrence,222
FINANCIAL STATEMENT SCHEDULES,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,222
Securities and Exchange Commission,Basis for Opinion These,co_occurrence,221
North American,European Union,co_occurrence,221
Singapore,Canada,co_occurrence,221
New Zealand,Australia,co_occurrence,221
Food and Drug Administration,HIPAA,co_occurrence,221
United States,Basis for Opinion These,co_occurrence,221
South Korea,United Kingdom,co_occurrence,221
China,the U.S. Department of Commerce,co_occurrence,220
Canada,Medicare,co_occurrence,220
inflation,climate change,co_occurrence,220
the Paris Agreement,United States,co_occurrence,220
GHG,FERC,co_occurrence,220
Securities and Exchange Commission,Malaysia,co_occurrence,219
Italy,China,co_occurrence,219
China,Healthcare,co_occurrence,219
Brexit,India,co_occurrence,219
the Inflation Reduction Act,European Union,co_occurrence,219
United States,Google,co_occurrence,219
the London Interbank Offered Rate,United Kingdom,co_occurrence,219
Environmental Protection Agency,Russia,co_occurrence,218
Japan,Ukraine,co_occurrence,218
Securities and Exchange Commission,SUBSIDIARIES CONSOLIDATED BALANCE SHEETS,co_occurrence,217
China,General Counsel,co_occurrence,217
Canada,the Private Securities Litigation Reform Act,co_occurrence,217
European Union,FCA,co_occurrence,217
European Union,Critical Accounting Policies,co_occurrence,217
Foreign Corrupt Practices Act,Australia,co_occurrence,217
HIPAA,United Kingdom,co_occurrence,217
China,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,216
Euro,Brazil,co_occurrence,216
Securities and Exchange Commission,Legal,co_occurrence,214
CMS,European Union,co_occurrence,214
China,Credit Agreement,co_occurrence,213
China,Medicaid,co_occurrence,213
Canada,FINANCIAL STATEMENT SCHEDULES,co_occurrence,213
Canada,Liquidity and Capital Resources,co_occurrence,213
Canada,Credit Facility,co_occurrence,213
Canada,FCPA,co_occurrence,213
Brexit,Russia,co_occurrence,213
European Union,Colorado,co_occurrence,213
European Union,Australian,co_occurrence,213
Ukraine,climate change,co_occurrence,213
Germany,Euro,co_occurrence,212
China,Foreign Currency Translation,co_occurrence,212
China,E.U.,co_occurrence,212
China,Australian,co_occurrence,212
Securities and Exchange Commission,HIPAA,co_occurrence,211
Germany,Ireland,co_occurrence,211
Canada,the Delaware General Corporation Law,co_occurrence,211
Canada,Restricted,co_occurrence,211
Food and Drug Administration,Russia,co_occurrence,211
China,Massachusetts,co_occurrence,210
CMS,Food and Drug Administration,co_occurrence,210
European Union,the Democratic Republic of Congo,co_occurrence,210
Moody s,United Kingdom,co_occurrence,209
France,Japan,co_occurrence,209
Section 13 or 15(d,Principal Executive Officer,co_occurrence,209
United Kingdom,Colorado,co_occurrence,209
Securities and Exchange Commission,the State of Delaware,co_occurrence,208
Securities and Exchange Commission,Spain,co_occurrence,208
Germany,Italy,co_occurrence,208
Canada,Credit Agreement,co_occurrence,208
the Tax Cuts and Jobs Act,India,co_occurrence,208
Ukraine,Cybersecurity,co_occurrence,208
Spain,United Kingdom,co_occurrence,208
United Kingdom,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,208
New Zealand,United Kingdom,co_occurrence,207
BEPS,European Union,co_occurrence,207
Federal Reserve,Russia,co_occurrence,207
the U.S. Supreme Court,European Union,co_occurrence,206
Securities and Exchange Commission,Registrant s Common Equity,co_occurrence,206
Registrant s Common Equity,United States,co_occurrence,206
Italy,European Union,co_occurrence,206
China,inflation,co_occurrence,206
Asian,United Kingdom,co_occurrence,206
Brexit,Euro,co_occurrence,206
the Tax Cuts and Jobs Act,Australia,co_occurrence,206
Securities and Exchange Commission,Connecticut,co_occurrence,205
China,Financial Reporting,co_occurrence,205
HHS,United States,co_occurrence,205
Massachusetts,European Union,co_occurrence,205
Canada,Foreign Currency Translation,co_occurrence,205
Canada,New Zealand,co_occurrence,205
Section 13 or 15(d,Principal Accounting Fees and Services,co_occurrence,205
climate change,Russia,co_occurrence,205
Canada,Intangible Assets,co_occurrence,204
Canada,Australian,co_occurrence,204
United States,CPRA,co_occurrence,204
United States,Fitch,co_occurrence,204
Contingencies,United Kingdom,co_occurrence,204
Australia,Ireland,co_occurrence,204
the European Economic Area,United Kingdom,co_occurrence,204
Brexit,E.U.,co_occurrence,203
Management s Report on Internal Control,Restricted,co_occurrence,203
Securities and Exchange Commission,the U.S. Treasury Department,co_occurrence,202
China,the Inflation Reduction Act,co_occurrence,202
HHS,Medicaid,co_occurrence,202
HHS,Medicare,co_occurrence,202
European Union,Malaysia,co_occurrence,202
FCPA,Russia,co_occurrence,202
Japan,U.S. Treasury,co_occurrence,202
climate change,United Kingdom,co_occurrence,202
Moody s Investors Service,China,co_occurrence,201
Financial Reporting,Critical Accounting Policies,co_occurrence,201
Massachusetts,United Kingdom,co_occurrence,201
the Health Insurance Portability,HIPAA,co_occurrence,201
artificial intelligence,United Kingdom,co_occurrence,201
Canada,Cybersecurity,co_occurrence,201
European Union,the London Interbank Offered Rate,co_occurrence,201
Japan,Ireland,co_occurrence,201
the Private Securities Litigation Reform Act,United Kingdom,co_occurrence,201
Disagreements with Accountants on Accounting and Financial Disclosure,Canada,co_occurrence,200
Canada,Taiwan,co_occurrence,200
European Union,the U.S. Department,co_occurrence,200
Japan,South Korea,co_occurrence,199
Federal Reserve,the California Consumer Privacy Act,co_occurrence,199
Liquidity and Capital Resources,Critical Accounting Policies,co_occurrence,199
United Kingdom,Stockholder Matters,co_occurrence,199
Securities and Exchange Commission,the Health Insurance Portability,co_occurrence,198
Financial Reporting,FINANCIAL STATEMENT SCHEDULES,co_occurrence,198
Russia,GHG,co_occurrence,198
Registrant s Common Equity,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,197
CMS,HIPAA,co_occurrence,197
Internal Control,Management s Report on Internal Control,co_occurrence,197
Canada,Stockholder Matters,co_occurrence,197
the U.S. Dollar,Euro,co_occurrence,197
Securities and Exchange Commission,New Zealand,co_occurrence,196
China,tariffs,co_occurrence,196
Medicaid,Canada,co_occurrence,196
artificial intelligence,Cybersecurity,co_occurrence,196
Canada,Spain,co_occurrence,196
ACA,Medicare,co_occurrence,196
Management s Discussion and Analysis of Financial Condition,Foreign Corrupt Practices Act,co_occurrence,196
India,Ireland,co_occurrence,196
the Inflation Reduction Act,Ukraine,co_occurrence,195
Russia,Israel,co_occurrence,195
United Kingdom,Israel,co_occurrence,195
Securities and Exchange Commission,CFPB,co_occurrence,194
Canada,Management s Report on Internal Control,co_occurrence,194
Canada,Item 1A. Risk Factors,co_occurrence,194
tariffs,climate change,co_occurrence,194
European Union,Corporate,co_occurrence,194
Management s Discussion and Analysis of Financial Condition,Principal Accounting Fees and Services,co_occurrence,194
Japan,the California Consumer Privacy Act,co_occurrence,194
Ukraine,Israel,co_occurrence,194
Restricted,FINANCIAL STATEMENT SCHEDULES,co_occurrence,194
Federal Reserve,FDIC,co_occurrence,194
Australia,Netherlands,co_occurrence,194
China,Colorado,co_occurrence,193
BEPS,United Kingdom,co_occurrence,193
Ukraine,Federal Reserve,co_occurrence,193
Russia,Cybersecurity,co_occurrence,193
Disagreements with Accountants on Accounting and Financial Disclosure,China,co_occurrence,192
Medicaid,ACA,co_occurrence,192
Federal Trade Commission,Russia,co_occurrence,192
ESG,Foreign Corrupt Practices Act,co_occurrence,192
Italy,Canada,co_occurrence,191
FINANCIAL STATEMENT SCHEDULES,Principal Executive Officer,co_occurrence,191
the California Consumer Privacy Act,Brazil,co_occurrence,191
Securities and Exchange Commission,ERISA,co_occurrence,190
China,Contingencies,co_occurrence,190
China,Spain,co_occurrence,190
China,Stockholder Matters,co_occurrence,190
Brexit,Brazil,co_occurrence,190
European Union,Stockholder Matters,co_occurrence,190
Securities and Exchange Commission,Our Business and Industry,co_occurrence,189
China,Liquidity and Capital Resources,co_occurrence,189
China,Regulation S-K,co_occurrence,189
Environmental Protection Agency,Mexico,co_occurrence,189
European Union,General Counsel,co_occurrence,189
FCPA,Japan,co_occurrence,189
United Kingdom,Significant Accounting Policies,co_occurrence,189
Hong Kong,Canada,co_occurrence,188
Moody s,European Union,co_occurrence,188
Acquisitions,Canada,co_occurrence,188
European Union,Puerto Rico,co_occurrence,188
FCPA,Foreign Corrupt Practices Act,co_occurrence,188
United Kingdom,Puerto Rico,co_occurrence,188
the U.S. Supreme Court,United Kingdom,co_occurrence,187
China,Item 1A. Risk Factors,co_occurrence,187
Moody s,Fitch,co_occurrence,187
the Health Insurance Portability,United Kingdom,co_occurrence,187
the Inflation Reduction Act,Russia,co_occurrence,187
European Union,Principal Accounting Fees and Services,co_occurrence,187
United Kingdom,General Counsel,co_occurrence,187
Securities and Exchange Commission,Argentina,co_occurrence,186
Germany,the Tax Cuts and Jobs Act,co_occurrence,186
Financial Reporting,U.S. Treasury,co_occurrence,186
the U.S. Treasury Department,United Kingdom,co_occurrence,186
the Financial Conduct Authority,Federal Reserve,co_occurrence,186
Canada,South Korea,co_occurrence,186
Brexit,Federal Reserve,co_occurrence,186
Foreign Currency Translation,United Kingdom,co_occurrence,186
Management s Report on Internal Control,Basis for Opinion The Company,co_occurrence,186
Management s Discussion and Analysis of Financial Condition,Russia,co_occurrence,186
China,Revolving Credit Facility,co_occurrence,185
ESG,India,co_occurrence,185
U.S. Treasury,Critical Accounting Policies,co_occurrence,185
China,Intangible Assets,co_occurrence,184
China,the Democratic Republic of Congo,co_occurrence,184
Financial Reporting,Section 13 or 15(d,co_occurrence,184
Mexico,Euro,co_occurrence,184
inflation,European Union,co_occurrence,184
the Tax Cuts and Jobs Act,Russia,co_occurrence,184
Contractual Obligations,Canada,co_occurrence,183
artificial intelligence,Ukraine,co_occurrence,183
Canada,the U.S. Dollar,co_occurrence,183
Federal Trade Commission,Ukraine,co_occurrence,183
European Union,the U.K. Bribery Act,co_occurrence,183
Germany,Ukraine,co_occurrence,182
Moody s Investors Service,Canada,co_occurrence,182
Disagreements with Accountants on Accounting and Financial Disclosure,United Kingdom,co_occurrence,182
Illinois,United Kingdom,co_occurrence,182
the False Claims Act,Medicare,co_occurrence,182
ESG,Federal Reserve,co_occurrence,182
Management s Discussion and Analysis of Financial Condition,Japan,co_occurrence,182
Restricted,U.S. Treasury,co_occurrence,182
Restricted,Black-Scholes,co_occurrence,182
the U.S. Congress,Russia,co_occurrence,182
Controller,General Counsel,co_occurrence,182
Italy,Australia,co_occurrence,181
Financial Reporting,PricewaterhouseCoopers LLP,co_occurrence,181
CMS,United Kingdom,co_occurrence,181
Canada,Switzerland,co_occurrence,181
Food and Drug Administration,Federal Trade Commission,co_occurrence,181
Management s Discussion and Analysis of Financial Condition,Ukraine,co_occurrence,181
New Jersey,United Kingdom,co_occurrence,181
Securities and Exchange Commission,tariffs,co_occurrence,180
Securities and Exchange Commission,Fitch,co_occurrence,180
Germany,Netherlands,co_occurrence,180
Registrant s Common Equity,Principal Accounting Fees and Services,co_occurrence,180
Financial Reporting,Principal Accounting Fees and Services,co_occurrence,180
Legal,European Union,co_occurrence,180
Canada,climate change,co_occurrence,180
IP,United Kingdom,co_occurrence,180
the U.S. Department,United Kingdom,co_occurrence,180
Intellectual Property,United Kingdom,co_occurrence,179
Financial Reporting,Black-Scholes,co_occurrence,179
Canada,Healthcare,co_occurrence,179
Intangible Assets,United Kingdom,co_occurrence,179
Securities and Exchange Commission,CMS,co_occurrence,178
Internal Control,Basis for Opinion The Company,co_occurrence,178
Canada,Colorado,co_occurrence,178
France,India,co_occurrence,178
the False Claims Act,European Union,co_occurrence,178
European Union,CPRA,co_occurrence,178
FCPA,India,co_occurrence,178
Japan,Malaysia,co_occurrence,178
the U.S. Department of Commerce,United Kingdom,co_occurrence,178
Germany,Singapore,co_occurrence,177
European Union,Spain,co_occurrence,177
the U.K. Bribery Act,United Kingdom,co_occurrence,177
China,Argentina,co_occurrence,176
Environmental Protection Agency,Management s Discussion and Analysis of Financial Condition,co_occurrence,176
artificial intelligence,inflation,co_occurrence,176
Canada,Regulation S-K,co_occurrence,176
Federal Trade Commission,Foreign Corrupt Practices Act,co_occurrence,176
Management s Report on Internal Control,Critical Accounting Policies,co_occurrence,176
ACA,European Union,co_occurrence,176
Management s Discussion and Analysis of Financial Condition,the California Consumer Privacy Act,co_occurrence,176
Argentina,Brazil,co_occurrence,176
Hong Kong,Japan,co_occurrence,175
Disagreements with Accountants on Accounting and Financial Disclosure,FINANCIAL STATEMENT SCHEDULES,co_occurrence,175
China,New Zealand,co_occurrence,175
Federal Trade Commission,India,co_occurrence,175
Section 13 or 15(d,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,175
the U.S. Supreme Court,China,co_occurrence,174
Contractual Obligations,Critical Accounting Policies,co_occurrence,174
Environmental Protection Agency,the Paris Agreement,co_occurrence,174
Canada,Office of Foreign Assets Control,co_occurrence,174
Brexit,FCPA,co_occurrence,174
European Union,Our Business and Industry,co_occurrence,174
Healthcare,Medicare,co_occurrence,174
Japan,Department of Justice,co_occurrence,174
Japan,the Delaware General Corporation Law,co_occurrence,174
Japan,Medicare,co_occurrence,174
Restricted,Basis for Opinion The Company,co_occurrence,174
CPRA,the California Consumer Privacy Act,co_occurrence,174
Federal Reserve,Australia,co_occurrence,174
Section 13 or 15(d,Credit Agreement,co_occurrence,174
Liquidity and Capital Resources,United Kingdom,co_occurrence,174
United Kingdom,Item 1A. Risk Factors,co_occurrence,174
Securities and Exchange Commission,Google,co_occurrence,173
Germany,Foreign Corrupt Practices Act,co_occurrence,173
Singapore,Malaysia,co_occurrence,173
Switzerland,Australia,co_occurrence,173
Foreign Corrupt Practices Act,Brazil,co_occurrence,173
the Patient Protection,Medicare,co_occurrence,173
the U.S. Supreme Court,Canada,co_occurrence,172
Food and Drug Administration,FCPA,co_occurrence,172
Regulation S-K,United Kingdom,co_occurrence,172
European Union,Credit Agreement,co_occurrence,172
Restricted,Section 13 or 15(d,co_occurrence,172
Hong Kong,Australia,co_occurrence,171
Independent Registered Public Accounting Firm,Section 13 or 15(d,co_occurrence,171
China,Inventories,co_occurrence,171
Medicaid,the False Claims Act,co_occurrence,171
Canada,District Court,co_occurrence,171
New Zealand,European Union,co_occurrence,171
France,Brazil,co_occurrence,171
European Union,Item 1A. Risk Factors,co_occurrence,171
the Delaware General Corporation Law,the California Consumer Privacy Act,co_occurrence,171
Foreign Corrupt Practices Act,climate change,co_occurrence,171
Restricted,Critical Accounting Policies,co_occurrence,171
Malaysia,United Kingdom,co_occurrence,171
Australian,Euro,co_occurrence,171
Taiwan,Russia,co_occurrence,171
China,Controller,co_occurrence,170
Financial Reporting,United Kingdom,co_occurrence,170
the Health Insurance Portability,Medicare,co_occurrence,170
the U.S. Treasury Department,European Union,co_occurrence,170
Food and Drug Administration,Australia,co_occurrence,170
the Paris Agreement,GHG,co_occurrence,170
Management s Discussion and Analysis of Financial Condition,Federal Reserve,co_occurrence,170
Securities and Exchange Commission,BEPS,co_occurrence,169
North American,Environmental Protection Agency,co_occurrence,169
HHS,CMS,co_occurrence,169
Massachusetts,Canada,co_occurrence,169
ESG,Cybersecurity,co_occurrence,169
the Tax Cuts and Jobs Act,Euro,co_occurrence,169
Japan,Critical Accounting Policies,co_occurrence,169
the California Consumer Privacy Act,Cybersecurity,co_occurrence,169
Germany,Brexit,co_occurrence,168
Germany,Spain,co_occurrence,168
China,Moody s,co_occurrence,168
Financial Reporting,Liquidity and Capital Resources,co_occurrence,168
Illinois,Canada,co_occurrence,168
Canada,Black-Scholes,co_occurrence,168
Mexico,the Tax Cuts and Jobs Act,co_occurrence,168
Food and Drug Administration,Ukraine,co_occurrence,168
tariffs,European Union,co_occurrence,168
Foreign Corrupt Practices Act,Euro,co_occurrence,168
Corporate,General Counsel,co_occurrence,168
Pennsylvania,United Kingdom,co_occurrence,167
Securities and Exchange Commission,the European Economic Area,co_occurrence,167
China,Management s Report on Internal Control,co_occurrence,167
Acquisitions,United Kingdom,co_occurrence,167
the State of Delaware,European Union,co_occurrence,167
Singapore,Russia,co_occurrence,167
the Tax Cuts and Jobs Act,U.S. Treasury,co_occurrence,167
Independent Registered Public Accounting Firm,FINANCIAL STATEMENT SCHEDULES,co_occurrence,166
China,HIPAA,co_occurrence,166
the Health Insurance Portability,Food and Drug Administration,co_occurrence,166
Canada,Fair,co_occurrence,166
Canada,Significant Accounting Policies,co_occurrence,166
European Union,Contingencies,co_occurrence,166
FCPA,the California Consumer Privacy Act,co_occurrence,166
DIRECTORS,FINANCIAL STATEMENT SCHEDULES,co_occurrence,166
Australia,Principal Accounting Fees and Services,co_occurrence,166
FINANCIAL STATEMENT SCHEDULES,Credit Agreement,co_occurrence,166
Moody s Investors Service,Moody s,co_occurrence,165
China,FINANCIAL STATEMENT SCHEDULES,co_occurrence,165
China,BEPS,co_occurrence,165
Medicaid,Japan,co_occurrence,165
Management s Report on Internal Control,FINANCIAL STATEMENT SCHEDULES,co_occurrence,165
European Union,Google,co_occurrence,165
Management s Discussion and Analysis of Financial Condition,India,co_occurrence,165
FCA,Federal Reserve,co_occurrence,165
U.S. Treasury,States,co_occurrence,165
Registrant s Common Equity,Stockholder Matters,co_occurrence,164
Internal Control,FINANCIAL STATEMENT SCHEDULES,co_occurrence,164
artificial intelligence,Russia,co_occurrence,164
ESG,GHG,co_occurrence,164
the Tax Cuts and Jobs Act,Foreign Corrupt Practices Act,co_occurrence,164
Management s Discussion and Analysis of Financial Condition,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,164
Ukraine,Taiwan,co_occurrence,164
Ukraine,GHG,co_occurrence,164
CPRA,United Kingdom,co_occurrence,164
Securities and Exchange Commission,the Clean Air Act,co_occurrence,163
North American,Australia,co_occurrence,163
North American,Mexico,co_occurrence,163
China,Legal,co_occurrence,163
China,the London Interbank Offered Rate,co_occurrence,163
Financial Reporting,Foreign Currency Translation,co_occurrence,163
the Tax Cuts and Jobs Act,the California Consumer Privacy Act,co_occurrence,163
Intangible Assets,Critical Accounting Policies,co_occurrence,163
Japan,Netherlands,co_occurrence,163
Department of Justice,Federal Reserve,co_occurrence,163
India,Federal Reserve,co_occurrence,163
U.S. Treasury,Australia,co_occurrence,163
Pennsylvania,Canada,co_occurrence,162
China,District Court,co_occurrence,162
Moody s,Canada,co_occurrence,162
Internal Control,Section 13 or 15(d,co_occurrence,162
Brexit,the U.S. Congress,co_occurrence,162
Food and Drug Administration,Foreign Corrupt Practices Act,co_occurrence,162
France,Russia,co_occurrence,162
inflation,tariffs,co_occurrence,162
European Union,Credit Facility,co_occurrence,162
Japan,Principal Accounting Fees and Services,co_occurrence,162
Australia,States,co_occurrence,162
Critical Accounting Policies,Principal Accounting Fees and Services,co_occurrence,162
Pennsylvania,New Jersey,co_occurrence,161
Securities and Exchange Commission,CPRA,co_occurrence,161
Singapore,Brazil,co_occurrence,161
Federal Trade Commission,ESG,co_occurrence,161
the Tax Cuts and Jobs Act,Brazil,co_occurrence,161
European Union,New Jersey,co_occurrence,161
Australia,Spain,co_occurrence,161
FINANCIAL STATEMENT SCHEDULES,United Kingdom,co_occurrence,161
Securities and Exchange Commission,Limitations of Internal Control,co_occurrence,160
Securities and Exchange Commission,ACA,co_occurrence,160
China,Customer,co_occurrence,160
China,Acquisitions,co_occurrence,160
Financial Reporting,Credit Agreement,co_occurrence,160
Limitations of Internal Control,United States,co_occurrence,160
Medicaid,the Patient Protection,co_occurrence,160
the Inflation Reduction Act,United Kingdom,co_occurrence,160
Department of Justice,Medicare,co_occurrence,160
Ukraine,the U.S. Congress,co_occurrence,160
Connecticut,United Kingdom,co_occurrence,160
FDIC,United Kingdom,co_occurrence,160
Securities and Exchange Commission,the Paris Agreement,co_occurrence,159
Italy,France,co_occurrence,159
Financial Reporting,Limitations of Internal Control,co_occurrence,159
Medicaid,Healthcare,co_occurrence,159
Canada,New Jersey,co_occurrence,159
Canada,Malaysia,co_occurrence,159
Management s Report on Internal Control,Black-Scholes,co_occurrence,159
Management s Report on Internal Control,U.S. Treasury,co_occurrence,159
FCPA,Brazil,co_occurrence,159
Japan,Federal Reserve,co_occurrence,159
the Private Securities Litigation Reform Act,Principal Accounting Fees and Services,co_occurrence,159
Securities and Exchange Commission,the Patient Protection,co_occurrence,158
Germany,Switzerland,co_occurrence,158
China,New Jersey,co_occurrence,158
artificial intelligence,Canada,co_occurrence,158
Canada,Basis for Opinion The Company,co_occurrence,158
ESG,climate change,co_occurrence,158
the Tax Cuts and Jobs Act,Critical Accounting Policies,co_occurrence,158
the Tax Cuts and Jobs Act,Management s Discussion and Analysis of Financial Condition,co_occurrence,158
CFPB,Federal Reserve,co_occurrence,158
Australia,Credit Facility,co_occurrence,158
Financial Reporting,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,157
SUBSIDIARIES CONSOLIDATED BALANCE SHEETS,Canada,co_occurrence,157
Contractual Obligations,United Kingdom,co_occurrence,157
Environmental Protection Agency,Australia,co_occurrence,157
Canada,Puerto Rico,co_occurrence,157
Canada,Controller,co_occurrence,157
Canada,the U.S. Department,co_occurrence,157
Federal Trade Commission,Australia,co_occurrence,157
the Delaware General Corporation Law,India,co_occurrence,157
China,Puerto Rico,co_occurrence,156
China,the Health Insurance Portability,co_occurrence,156
CMS,ACA,co_occurrence,156
Internal Control,PricewaterhouseCoopers LLP,co_occurrence,156
Mexico,GHG,co_occurrence,156
Food and Drug Administration,ACA,co_occurrence,156
Ukraine,Euro,co_occurrence,156
the Delaware General Corporation Law,Russia,co_occurrence,156
District Court,United Kingdom,co_occurrence,156
China,Finance,co_occurrence,155
China,the U.S. Department,co_occurrence,155
Singapore,Mexico,co_occurrence,155
Canada,General Counsel,co_occurrence,155
Management s Report on Internal Control,Section 13 or 15(d,co_occurrence,155
European Union,the Patient Protection,co_occurrence,155
FCPA,Ukraine,co_occurrence,155
Foreign Corrupt Practices Act,Office of Foreign Assets Control,co_occurrence,155
Restricted,Credit Agreement,co_occurrence,155
United Kingdom,the Democratic Republic of Congo,co_occurrence,155
Securities and Exchange Commission,the False Claims Act,co_occurrence,154
China,Restricted,co_occurrence,154
Canada,Section 13 or 15(d,co_occurrence,154
inflation,Cybersecurity,co_occurrence,154
Regulation S-K,European Union,co_occurrence,154
Foreign Currency Translation,Critical Accounting Policies,co_occurrence,154
Management s Discussion and Analysis of Financial Condition,Critical Accounting Policies,co_occurrence,154
Department of Justice,Australia,co_occurrence,154
Foreign Corrupt Practices Act,Cybersecurity,co_occurrence,154
Federal Reserve,CFTC,co_occurrence,154
Credit Agreement,Principal Accounting Fees and Services,co_occurrence,154
the Clean Air Act,GHG,co_occurrence,153
China,the European Economic Area,co_occurrence,153
Financial Reporting,Contractual Obligations,co_occurrence,153
Internal Control,Restricted,co_occurrence,153
Limitations of Internal Control,Basis for Opinion The Company,co_occurrence,153
the Tax Cuts and Jobs Act,Basis for Opinion The Company,co_occurrence,153
Foreign Currency Translation,Intangible Assets,co_occurrence,153
Ohio,United Kingdom,co_occurrence,153
South Korea,Australia,co_occurrence,153
India,Taiwan,co_occurrence,153
Basis for Opinion The Company,Basis for Opinion These,co_occurrence,153
the U.S. Supreme Court,Environmental Protection Agency,co_occurrence,152
Germany,the California Consumer Privacy Act,co_occurrence,152
Disagreements with Accountants on Accounting and Financial Disclosure,European Union,co_occurrence,152
Disagreements with Accountants on Accounting and Financial Disclosure,Registrant s Common Equity,co_occurrence,152
Environmental Protection Agency,Ukraine,co_occurrence,152
the Health Insurance Portability,Medicaid,co_occurrence,152
the Financial Conduct Authority,Canada,co_occurrence,152
the False Claims Act,United Kingdom,co_occurrence,152
ESG,Australia,co_occurrence,152
FCPA,Australia,co_occurrence,152
Argentina,United Kingdom,co_occurrence,152
the U.S. Congress,the California Consumer Privacy Act,co_occurrence,152
Liquidity and Capital Resources,Principal Accounting Fees and Services,co_occurrence,152
Securities and Exchange Commission,the U.K. Bribery Act,co_occurrence,151
Internal Control,Critical Accounting Policies,co_occurrence,151
artificial intelligence,Foreign Corrupt Practices Act,co_occurrence,151
artificial intelligence,tariffs,co_occurrence,151
Canada,Ohio,co_occurrence,151
Canada,Inventories,co_occurrence,151
European Union,District Court,co_occurrence,151
European Union,ERISA,co_occurrence,151
Management s Discussion and Analysis of Financial Condition,Australia,co_occurrence,151
Loss,United Kingdom,co_occurrence,151
U.S. Treasury,Principal Accounting Fees and Services,co_occurrence,151
Our Business and Industry,United Kingdom,co_occurrence,151
Internal Control,Canada,co_occurrence,150
Medicaid,Department of Justice,co_occurrence,150
Canada,Finance,co_occurrence,150
Switzerland,Japan,co_occurrence,150
European Union,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,150
European Union,Argentina,co_occurrence,150
Ukraine,the Delaware General Corporation Law,co_occurrence,150
